title,authors,link,subject,doi,submission_v1,submission_most_recent,pdf_link,primary_subject
          Electromagnetic Radiation from Binary Stars Mediated by Ultralight Scalar,"['Ya-Ze Cheng', 'Wen-Hao Wu', 'Yan Cao']",https://arxiv.org/abs/2401.00204,Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Physics - Phenomenology (hep-ph),https://doi.org/10.1142/S0218271825500221,2023-12-30 11:07:57+00:00,2025-05-15 11:07:14+00:00,https://arxiv.org/pdf/2401.00204,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
          Evidence of Grain Alignment by Magnetically Enhanced Radiative Torques from Multiwavelength Dust Polarization Modeling of HL Tau,"['Nguyen Tat Thang', 'Pham Ngoc Diep', 'Thiem Hoang', 'Le Ngoc Tram', 'Nguyen Bich Ngoc', 'Nguyen Thi Phuong', 'Bao Truong']",https://arxiv.org/abs/2401.00220,Solar and Stellar Astrophysics (astro-ph.SR); Earth and Planetary Astrophysics (astro-ph.EP),https://doi.org/10.3847/1538-4357/ad4f74,2023-12-30 13:09:11+00:00,2024-07-29 02:08:51+00:00,https://arxiv.org/pdf/2401.00220,Solar and Stellar Astrophysics (astro-ph.SR)
          Survivability of Amorphous Ice in Comets Depends on the Latent Heat of Crystallization of Impure Water Ice,"['Sota Arakawa', 'Shigeru Wakita']",https://arxiv.org/abs/2401.00231,Earth and Planetary Astrophysics (astro-ph.EP),https://doi.org/10.1093/pasj/psad086,2023-12-30 13:44:23+00:00,,https://arxiv.org/pdf/2401.00231,Earth and Planetary Astrophysics (astro-ph.EP)
          Thermodiffusion unipolar electric generator,"['G.S. Bisnovatyi-Kogan', 'M.V. Glushikhina']",https://arxiv.org/abs/2401.00233,High Energy Astrophysical Phenomena (astro-ph.HE); Solar and Stellar Astrophysics (astro-ph.SR),https://doi.org/10.54503/0571-7132-2024.67.3-423,2023-12-30 13:50:45+00:00,2024-11-18 17:22:57+00:00,https://arxiv.org/pdf/2401.00233,High Energy Astrophysical Phenomena (astro-ph.HE)
          Laboratory Experiments of Model-based Reinforcement Learning for Adaptive Optics Control,"['Jalo Nousiainen', 'Byron Engler', 'Markus Kasper', 'Chang Rajani', 'Tapio Helin', 'Cédric T. Heritier', 'Sascha P. Quanz', 'Adrian M. Glauser']",https://arxiv.org/abs/2401.00242,Instrumentation and Methods for Astrophysics (astro-ph.IM); Machine Learning (cs.LG); Robotics (cs.RO),,2023-12-30 14:11:43+00:00,,https://arxiv.org/pdf/2401.00242,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          Intrinsic Shear and Galaxy Alignments: A Quantitative Study Using the TATT model,['Abinash Das'],https://arxiv.org/abs/2401.00278,Cosmology and Nongalactic Astrophysics (astro-ph.CO),,2023-12-30 16:52:37+00:00,2024-01-04 22:25:18+00:00,https://arxiv.org/pdf/2401.00242,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
          Synthetic spectra for Lyman-$α$ forest analysis in the Dark Energy Spectroscopic Instrument,"['Hiram K. Herrera-Alcantar', 'Andrea Muñoz-Gutiérrez', 'Ting Tan', 'Alma X. González-Morales', 'Andreu Font-Ribera', 'Julien Guy', 'John Moustakas', 'David Kirkby', 'E. Armengaud', 'A. Bault', 'L. Cabayol-Garcia', 'J. Chaves-Montero', 'A. Cuceu', 'R. de la Cruz', 'L. Á. García', 'C. Gordon', 'V. Iršič', 'N. G. Karaçaylı', 'J. M. Le Goff', 'P. Montero-Camacho', 'G. Niz', 'I. Pérez-Ràfols', 'C. Ramírez-Pérez', 'C. Ravoux', 'M. Walther', 'J. Aguilar', 'S. Ahlen', 'D. Brooks', 'T. Claybaugh', 'K. Dawson', 'A. de la Macorra', 'P. Doel', 'J. E. Forero-Romero', 'E. Gaztañaga', 'S. Gontcho A Gontcho', 'K. Honscheid', 'R. Kehoe', 'T. Kisner', 'M. Landriau', 'Michael E. Levi', 'M. Manera', 'P. Martini', 'A. Meisner', 'R. Miquel', 'J. Nie', 'N. Palanque-Delabrouille', 'C. Poppett', 'M. Rezaie', 'G. Rossi', 'E. Sanchez', 'H. Seo', 'G. Tarlé', 'B. A. Weaver', 'Z. Zhou']",https://arxiv.org/abs/2401.00303,Cosmology and Nongalactic Astrophysics (astro-ph.CO),https://doi.org/10.1088/1475-7516/2025/01/141,2023-12-30 19:05:19+00:00,2025-01-14 09:31:01+00:00,https://arxiv.org/pdf/2401.00303,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
          Gas-phase molecules in protoplanetary nebulae with the 21 μm emission feature,"['Jian-Jie Qiu', 'Yong Zhang', 'Jun-ichi Nakashima', 'Jiang-Shui Zhang', 'Fei Li', 'Deng-Rong Lu', 'Xin-Di Tang', 'Xiao-Ling Yu', 'Lan-Wei Jia']",https://arxiv.org/abs/2401.00387,Astrophysics of Galaxies (astro-ph.GA); Solar and Stellar Astrophysics (astro-ph.SR),,2023-12-31 03:48:55+00:00,,https://arxiv.org/pdf/2401.00387,Astrophysics of Galaxies (astro-ph.GA)
          Multiwavelength observation of an active M-dwarf star EV Lac and its stellar flare accompanied by a delayed prominence eruption,"['Shun Inoue', 'Teruaki Enoto', 'Kosuke Namekata', 'Yuta Notsu', 'Satoshi Honda', 'Hiroyuki Maehara', 'Jiale Zhang', 'Hong-Peng Lu', 'Hiroyuki Uchida', 'Takeshi Go Tsuru', 'Daisaku Nogami', 'Kazunari Shibata']",https://arxiv.org/abs/2401.00399,Solar and Stellar Astrophysics (astro-ph.SR); High Energy Astrophysical Phenomena (astro-ph.HE),,2023-12-31 04:52:50+00:00,,https://arxiv.org/pdf/2401.00399,Solar and Stellar Astrophysics (astro-ph.SR)
          CMB lensing from early-formed dark matter halos,"['Katsuya T. Abe', 'Hiroyuki Tashiro']",https://arxiv.org/abs/2401.00407,Cosmology and Nongalactic Astrophysics (astro-ph.CO),https://doi.org/10.1103/PhysRevD.109.103524,2023-12-31 05:47:18+00:00,2024-05-20 01:11:30+00:00,https://arxiv.org/pdf/2401.00407,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
          Dissipation of AGN jets in a clumpy interstellar medium,"['Riju Dutta', 'Prateek Sharma', 'Kartick C. Sarkar', 'James M. Stone']",https://arxiv.org/abs/2401.00446,Astrophysics of Galaxies (astro-ph.GA); Fluid Dynamics (physics.flu-dyn),,2023-12-31 10:29:38+00:00,,https://arxiv.org/pdf/2401.00446,Astrophysics of Galaxies (astro-ph.GA)
          Two sequences of spiral galaxies with different shapes of the metallicity gradients,"['L.S.Pilyugin', 'G.Tautvaisiene']",https://arxiv.org/abs/2401.00458,Astrophysics of Galaxies (astro-ph.GA),,2023-12-31 11:20:27+00:00,,https://arxiv.org/pdf/2401.00458,Astrophysics of Galaxies (astro-ph.GA)
          The Sonified Hertzsprung-Russell Diagram,"['Daniela Huppenkothen', 'Juan Pampin', 'James R.A. Davenport', 'James Wenlock']",https://arxiv.org/abs/2401.00488,Instrumentation and Methods for Astrophysics (astro-ph.IM); Solar and Stellar Astrophysics (astro-ph.SR),,2023-12-31 13:04:42+00:00,,https://arxiv.org/pdf/2401.00488,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          Production of s-process elements in AGB stars as revealed by Gaia GSP-spec abundances,"['G. Contursi', 'P. de Laverny', 'A. Recio-Blanco', 'P. A. Palicio', 'C. Abia']",https://arxiv.org/abs/2401.00545,Solar and Stellar Astrophysics (astro-ph.SR); Astrophysics of Galaxies (astro-ph.GA),,2023-12-31 17:16:47+00:00,,https://arxiv.org/pdf/2401.00545,Solar and Stellar Astrophysics (astro-ph.SR)
          The primordial black holes solution to the cosmological monopole problem,"['Xin-Zhe Wang', 'Can-Min Deng']",https://arxiv.org/abs/2401.00555,High Energy Astrophysical Phenomena (astro-ph.HE); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),https://doi.org/10.1140/epjc/s10052-024-12387-4,2023-12-31 18:04:03+00:00,2024-01-12 04:42:41+00:00,https://arxiv.org/pdf/2401.00555,High Energy Astrophysical Phenomena (astro-ph.HE)
          Photometric Objects Around Cosmic Webs (PAC). VI. High Satellite Fraction of Quasars,"['Shanquan Gui', 'Kun Xu', 'Y.P. Jing', 'Donghai Zhao', 'Hongyu Gao']",https://arxiv.org/abs/2401.00565,Astrophysics of Galaxies (astro-ph.GA),https://doi.org/10.3847/1538-4357/ad3b96,2023-12-31 19:00:04+00:00,2024-05-15 06:53:14+00:00,https://arxiv.org/pdf/2401.00565,Astrophysics of Galaxies (astro-ph.GA)
          The structure of the stellar halo of the Andromeda galaxy explored with the NB515 for Subaru/HSC. I.: New Insights on the stellar halo up to 120 kpc,"['Itsuki Ogami', 'Mikito Tanaka', 'Yutaka Komiyama', 'Masashi Chiba', 'Puragra Guhathakurta', 'Evan N. Kirby', 'Rosemary F. G. Wyse', 'Carrie Filion', 'Karoline M. Gilbert', 'Ivanna Escala', 'Masao Mori', 'Takanobu Kirihara', 'Masayuki Tanaka', 'Miho N. Ishigaki', 'Kohei Hayashi', 'Myung Gyoon Lee', 'Sanjib Sharma', 'Jason S. Kalirai', 'Robert H. Lupton']",https://arxiv.org/abs/2401.00668,Astrophysics of Galaxies (astro-ph.GA),,2024-01-01 05:17:34+00:00,2025-01-02 08:20:58+00:00,https://arxiv.org/pdf/2401.00668,Astrophysics of Galaxies (astro-ph.GA)
          3D non-LTE abundance analyses of late-type stars,"['Karin Lind', 'Anish Mayur Amarsi']",https://arxiv.org/abs/2401.00697,Solar and Stellar Astrophysics (astro-ph.SR),,2024-01-01 08:25:33+00:00,,https://arxiv.org/pdf/2401.00697,Solar and Stellar Astrophysics (astro-ph.SR)
          A test of MOND and Emergent Gravity with SMACS J0723.3-7327 using eROSITA observations,"['Ambica Govind', 'Shantanu Desai']",https://arxiv.org/abs/2401.00707,Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc),https://doi.org/10.1088/1475-7516/2024/10/030,2024-01-01 09:17:12+00:00,2024-09-23 09:49:53+00:00,https://arxiv.org/pdf/2401.00707,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
          Dynamics of the Beta Pictoris planetary system and its falling evaporating bodies,"['H. Beust', 'J. Milli', 'A. Morbidelli', 'S. Lacour', 'A.-M. Lagrange', 'G. Chauvin', 'M. Bonnefoy', 'J. Wang']",https://arxiv.org/abs/2401.00715,Earth and Planetary Astrophysics (astro-ph.EP),,2024-01-01 10:03:17+00:00,,https://arxiv.org/pdf/2401.00715,Earth and Planetary Astrophysics (astro-ph.EP)
"          Discovery of a second eclipsing, bursting neutron-star low-mass X-ray binary in the globular cluster Terzan 6","['Maureen van den Berg', 'Jeroen Homan', 'Craig O. Heinke', 'David A. Pooley', 'Rudy Wijnands', 'Arash Bahramian', 'James C.A. Miller-Jones']",https://arxiv.org/abs/2401.00727,High Energy Astrophysical Phenomena (astro-ph.HE),https://doi.org/10.3847/1538-4357/ad2f3d,2024-01-01 11:24:07+00:00,2024-05-20 17:47:46+00:00,https://arxiv.org/pdf/2401.00727,High Energy Astrophysical Phenomena (astro-ph.HE)
          Constraining the Number Density of the Accretion Disk Wind in Hercules X-1 Using its Ionization Response to X-ray Pulsations,"['P. Kosec', 'D. Rogantini', 'E. Kara', 'C. R. Canizares', 'A. C. Fabian', 'C. Pinto', 'I. Psaradaki', 'R. Staubert', 'D. J. Walton']",https://arxiv.org/abs/2401.00754,High Energy Astrophysical Phenomena (astro-ph.HE),,2024-01-01 13:36:27+00:00,2024-06-24 14:49:07+00:00,https://arxiv.org/pdf/2401.00754,High Energy Astrophysical Phenomena (astro-ph.HE)
          Modelling magnetically formed neutron star mountains,['Amlan Nanda'],https://arxiv.org/abs/2401.00768,High Energy Astrophysical Phenomena (astro-ph.HE); General Relativity and Quantum Cosmology (gr-qc),,2024-01-01 14:20:44+00:00,,https://arxiv.org/pdf/2401.00768,High Energy Astrophysical Phenomena (astro-ph.HE)
          Visual Photometry: Testing Hypotheses Concerning Bias and Precision,['Alan B. Whiting'],https://arxiv.org/abs/2401.00798,Instrumentation and Methods for Astrophysics (astro-ph.IM),,2024-01-01 15:58:28+00:00,,https://arxiv.org/pdf/2401.00798,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          Elusive hot stripped helium stars in the Galaxy I. Evolutionary stellar models in the gap between subdwarfs and Wolf-Rayet stars,"['L. Yungelson', 'A. Kuranov', 'K. Postnov', 'M. Kuranova', 'L. Oskinova', 'W.-R. Hamann']",https://arxiv.org/abs/2401.00802,Solar and Stellar Astrophysics (astro-ph.SR); Astrophysics of Galaxies (astro-ph.GA),,2024-01-01 16:09:34+00:00,,https://arxiv.org/pdf/2401.00802,Solar and Stellar Astrophysics (astro-ph.SR)
          OGHReS: Star formation in the Outer Galaxy ($\ell = 250^\circ$-$280^\circ$),"['J. S. Urquhart', 'C. König', 'D. Colombo', 'A. Karska', 'F. Wyrowski', 'K. M. Menten', 'T. J. T. Moore', 'J. Brand', 'D. Elia', 'A. Giannetti', 'S. Leurini', 'M. Figueira', 'M.-Y. Lee', 'M. Dumke']",https://arxiv.org/abs/2401.00808,Astrophysics of Galaxies (astro-ph.GA),https://doi.org/10.1093/mnras/stad3983,2024-01-01 16:32:07+00:00,,https://arxiv.org/pdf/2401.00808,Astrophysics of Galaxies (astro-ph.GA)
          Formation and Evolution of the Stream of SOHO Kreutz Sungrazers. I. History and Preliminary Investigations,['Zdenek Sekanina'],https://arxiv.org/abs/2401.00845,Earth and Planetary Astrophysics (astro-ph.EP),,2024-01-01 18:53:53+00:00,2024-01-02 21:34:35+00:00,https://arxiv.org/pdf/2401.00845,Earth and Planetary Astrophysics (astro-ph.EP)
          Detection and Mitigation of Glitches in LISA Data: A Machine Learning Approach,"['Niklas Houba', 'Luigi Ferraioli', 'Domenico Giardini']",https://arxiv.org/abs/2401.00846,Instrumentation and Methods for Astrophysics (astro-ph.IM); General Relativity and Quantum Cosmology (gr-qc),https://doi.org/10.1103/PhysRevD.109.083027,2024-01-01 18:53:54+00:00,,https://arxiv.org/pdf/2401.00846,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          NanoNewton electrostatic force actuators for femtoNewton-sensitive measurements: system performance test in the LISA Pathfinder mission,"['M Armano', 'H Audley', 'J Baird', 'M Bassan', 'P Binetruy', 'M Born', 'D Bortoluzzi', 'E Castelli', 'A Cavalleri', 'A Cesarini', 'V Chiavegato', 'A M Cruise', 'D Dal Bosco', 'K Danzmann', 'M De Deus Silva', 'R De Rosa', 'L Di Fiore', 'I Diepholz', 'G Dixon', 'R Dolesi', 'L Ferraioli V Ferroni', 'E D Fitzsimons', 'M Freschi', 'L Gesa', 'D Giardini', 'F Gibert', 'R Giusteri', 'A Grado', 'C Grimani', 'J Grzymisch', 'I Harrison', 'M S Hartig', 'G Heinzel', 'M Hewitson', 'D Hollington', 'D Hoyland', 'M Hueller', 'H Inchauspé', 'O Jennrich', 'P Jetzer', 'B Johlander', 'N Karnesis', 'B Kaune', 'N Korsakova', 'C J Killow', 'L Liu', 'J A Lobo', 'J P López-Zaragoza', 'R Maarschalkerweerd', 'D Mance', 'V Martín', 'L Martin-Polo', 'F Martin-Porqueras', 'J Martino', 'P W McNamara', 'J Mendes', 'L Mendes', 'N Meshksar', 'J Moerschell', 'M Nofrarias', 'S Paczkowski', 'M Perreur-Lloyd', 'A Petiteau', 'E Plagnol', 'C Praplan', 'J Ramos-Castro', 'J Reiche', 'F Rivas', 'D I Robertson', 'G Russano', 'L Sala', 'P Sarra', 'S L Schule-Walewski', 'J Slutsky', 'C F Sopuerta', 'R Stanga', 'T Sumner', 'J ten Pierick', 'D Texier', 'J I Thorpe', 'D Vetrugno', 'S Vitale', 'G Wanner', 'H Ward', 'P Wass', 'W J Weber', 'L Wissel', 'A Wittchen', 'C Zanoni', 'P Zweifel']",https://arxiv.org/abs/2401.00884,Instrumentation and Methods for Astrophysics (astro-ph.IM); General Relativity and Quantum Cosmology (gr-qc),,2023-12-30 14:27:36+00:00,,https://arxiv.org/pdf/2401.00884,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          Convergence properties of fine structure constant measurements using quasar absorption systems,"['John K. Webb', 'Chung-Chi Lee']",https://arxiv.org/abs/2401.00887,Cosmology and Nongalactic Astrophysics (astro-ph.CO); Instrumentation and Methods for Astrophysics (astro-ph.IM),,2023-12-30 19:28:13+00:00,,https://arxiv.org/pdf/2401.00887,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
          The Mystery of Alpha and the Isotopes,"['John K. Webb', 'Chung-Chi Lee', 'Dinko Milakovic', 'Victor V. Flambaum', 'Vladimir A. Dzuba', 'Joao Magueijo']",https://arxiv.org/abs/2401.00888,Cosmology and Nongalactic Astrophysics (astro-ph.CO); Astrophysics of Galaxies (astro-ph.GA); General Relativity and Quantum Cosmology (gr-qc),https://doi.org/10.1093/mnrasl/slaf012,2023-12-30 20:42:07+00:00,2025-03-15 05:39:57+00:00,https://arxiv.org/pdf/2401.00888,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
          Gravity-driven magnetogenesis,['Fan Zhang'],https://arxiv.org/abs/2401.00914,Cosmology and Nongalactic Astrophysics (astro-ph.CO),,2024-01-01 05:03:50+00:00,,https://arxiv.org/pdf/2401.00914,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
          Stacking the spectra of eROSITA galaxy cluster data for searches of the 3.5keV line: Dark matter decay or charge exchange?,['Justo Antonio Gonzalez Villalba'],https://arxiv.org/abs/2401.00923,Cosmology and Nongalactic Astrophysics (astro-ph.CO),,2024-01-01 13:14:01+00:00,2024-02-15 11:02:16+00:00,https://arxiv.org/pdf/2401.00923,Cosmology and Nongalactic Astrophysics (astro-ph.CO)
          Detection of polarized Fermi-bubble synchrotron and dust emission,['Uri Keshet'],https://arxiv.org/abs/2401.00933,High Energy Astrophysical Phenomena (astro-ph.HE); Astrophysics of Galaxies (astro-ph.GA),,2024-01-01 19:00:01+00:00,2025-01-03 17:21:57+00:00,https://arxiv.org/pdf/2401.00933,High Energy Astrophysical Phenomena (astro-ph.HE)
          JADES: Rest-frame UV-to-NIR Size Evolution of Massive Quiescent Galaxies from Redshift z=5 to z=0.5,"['Zhiyuan Ji', 'Christina C. Williams', 'Katherine A. Suess', 'Sandro Tacchella', 'Benjamin D. Johnson', 'Brant Robertson', 'Stacey Alberts', 'William M. Baker', 'Stefi Baum', 'Rachana Bhatawdekar', 'Nina Bonaventura', 'Kristan Boyett', 'Andrew J. Bunker', 'Stefano Carniani', 'Stephane Charlot', 'Zuyi Chen', 'Jacopo Chevallard', 'Emma Curtis-Lake', ""Francesco D'Eugenio"", 'Anna de Graaff', 'Christa DeCoursey', 'Eiichi Egami', 'Daniel J. Eisenstein', 'Kevin Hainline', 'Ryan Hausen', 'Jakob M. Helton', 'Tobias J. Looser', 'Jianwei Lyu', 'Roberto Maiolino', 'Michael V. Maseda', 'Erica Nelson', 'George Rieke', 'Marcia Rieke', 'Hans-Walter Rix', 'Lester Sandles', 'Fengwu Sun', 'Hannah Übler', 'Christopher N. A. Willmer', 'Chris Willott', 'Joris Witstok']",https://arxiv.org/abs/2401.00934,Astrophysics of Galaxies (astro-ph.GA),,2024-01-01 19:00:02+00:00,,https://arxiv.org/pdf/2401.00934,Astrophysics of Galaxies (astro-ph.GA)
          Inferring the CO2 Abundance in Comet 45P/Honda-Mrkos-Pajdušáková from [O I] Observations: Implications for the Source of Icy Grains in Cometary Comae,"['Mikayla R. Huffman', 'Adam J. McKay', 'Anita L. Cochran']",https://arxiv.org/abs/2401.00956,Earth and Planetary Astrophysics (astro-ph.EP),,2024-01-01 20:42:15+00:00,,https://arxiv.org/pdf/2401.00956,Earth and Planetary Astrophysics (astro-ph.EP)
          A refined search for high-velocity gas in the Cygnus Loop supernova remnant,"['Adam M. Ritchey', 'S. R. Federman', 'David L. Lambert']",https://arxiv.org/abs/2401.00960,Astrophysics of Galaxies (astro-ph.GA),,2024-01-01 21:29:31+00:00,,https://arxiv.org/pdf/2401.00960,Astrophysics of Galaxies (astro-ph.GA)
          The depletion of star-forming gas by AGN activity in radio sources,['S J Curran'],https://arxiv.org/abs/2401.00962,Astrophysics of Galaxies (astro-ph.GA),,2024-01-01 21:47:32+00:00,,https://arxiv.org/pdf/2401.00962,Astrophysics of Galaxies (astro-ph.GA)
          X-ray plasma flow and turbulence in the colliding winds of WR140,"['Asca Miyamoto', 'Yasuharu Sugawara', 'Yoshitomo Maeda', 'Manabu Ishida', 'Kenji Hamaguchi', 'Christopher M. P. Russell', 'Anthony F. J. Moffat']",https://arxiv.org/abs/2401.00977,High Energy Astrophysical Phenomena (astro-ph.HE); Solar and Stellar Astrophysics (astro-ph.SR),https://doi.org/10.1093/mnras/stad3635,2024-01-02 00:13:35+00:00,,https://arxiv.org/pdf/2401.00977,High Energy Astrophysical Phenomena (astro-ph.HE)
          Detectability of Strongly Gravitationally Lensed Tidal Disruption Events,"['Zhiwei Chen', 'Youjun Lu', 'Yunfeng Chen']",https://arxiv.org/abs/2401.00992,High Energy Astrophysical Phenomena (astro-ph.HE); Astrophysics of Galaxies (astro-ph.GA),,2024-01-02 02:08:13+00:00,2024-01-25 09:14:15+00:00,https://arxiv.org/pdf/2401.00992,High Energy Astrophysical Phenomena (astro-ph.HE)
          Star Formation Histories of Dwarf Lenticular Galaxies,"['Hong Bae Ann', 'Mira Seo']",https://arxiv.org/abs/2401.01028,Astrophysics of Galaxies (astro-ph.GA),,2024-01-02 04:33:42+00:00,2024-03-28 10:32:47+00:00,https://arxiv.org/pdf/2401.01028,Astrophysics of Galaxies (astro-ph.GA)
          Optimization of performance of the KM2A full array using the Crab Nebula,['LHAASO collaboration'],https://arxiv.org/abs/2401.01038,Instrumentation and Methods for Astrophysics (astro-ph.IM); High Energy Physics - Phenomenology (hep-ph),,2024-01-02 04:55:50+00:00,2024-01-03 02:51:32+00:00,https://arxiv.org/pdf/2401.01038,Instrumentation and Methods for Astrophysics (astro-ph.IM)
          Polycyclic aromatic hydrocarbon (PAH) luminous galaxies in JWST CEERS data,"['Yu-Wei Lin', 'Cossas K.-W. Wu', 'Chih-Teng Ling', 'Tomotsugu Goto', 'Seong Jin Kim', 'Ece Kilerci', 'Tetsuya Hashimoto', 'Po-Ya Wang', 'Simon C.-C. Ho', 'Tiger Yu-Yang Hsiao', 'Bjorn Jasper R. Raquel', 'Yuri Uno']",https://arxiv.org/abs/2401.01043,Astrophysics of Galaxies (astro-ph.GA); Cosmology and Nongalactic Astrophysics (astro-ph.CO),,2024-01-02 05:35:14+00:00,,https://arxiv.org/pdf/2401.01043,Astrophysics of Galaxies (astro-ph.GA)
